model_id,runner,arch,language,audio_set_id,sample_count,run_count,median_elapsed_s,median_latency_per_10s,median_wer_pct,median_cer_pct,peak_rss_mb
elevenlabs-scribe-v1,elevenlabs,AR,all,elevenlabs_rachel_mixed,20,20,1.4584,1.1004,7.5,7.13,48.7
elevenlabs-scribe-v1,elevenlabs,AR,all,live,20,20,1.3861,1.0393,10.59,11.1,48.8
elevenlabs-scribe-v1,elevenlabs,AR,en,elevenlabs_rachel_mixed,10,10,1.3259,1.0402,6.99,9.02,48.7
elevenlabs-scribe-v1,elevenlabs,AR,en,live,10,10,1.3861,1.0747,8.63,11.1,48.8
elevenlabs-scribe-v1,elevenlabs,AR,ru,elevenlabs_rachel_mixed,10,10,1.5703,1.327,8.39,5.89,48.0
elevenlabs-scribe-v1,elevenlabs,AR,ru,live,10,10,1.3726,1.0263,14.81,10.36,48.0
elevenlabs-scribe-v1-experimental,elevenlabs,AR,all,elevenlabs_rachel_mixed,20,20,1.1899,0.8975,5.98,4.6,49.1
elevenlabs-scribe-v1-experimental,elevenlabs,AR,all,live,20,20,1.2121,0.9937,5.13,3.89,49.2
elevenlabs-scribe-v1-experimental,elevenlabs,AR,en,elevenlabs_rachel_mixed,10,10,1.1726,0.8839,0.0,2.13,49.1
elevenlabs-scribe-v1-experimental,elevenlabs,AR,en,live,10,10,1.1877,0.979,0.0,2.03,49.2
elevenlabs-scribe-v1-experimental,elevenlabs,AR,ru,elevenlabs_rachel_mixed,10,10,1.2206,0.959,6.97,5.28,48.9
elevenlabs-scribe-v1-experimental,elevenlabs,AR,ru,live,10,10,1.2553,1.0417,6.97,5.28,47.9
gigaam-v2-ctc,gigaam,NAR (CTC),all,elevenlabs_rachel_mixed,20,20,0.6852,0.5368,85.0,71.77,2554.6
gigaam-v2-ctc,gigaam,NAR (CTC),all,live,20,20,0.7021,0.5478,87.5,72.07,2987.6
gigaam-v2-ctc,gigaam,NAR (CTC),all,silero_v4_ru_xenia_48k,10,10,0.4897,0.6596,20.8,20.68,2184.8
gigaam-v2-ctc,gigaam,NAR (CTC),en,elevenlabs_rachel_mixed,10,10,0.7544,0.5849,100.0,94.24,2554.6
gigaam-v2-ctc,gigaam,NAR (CTC),en,live,10,10,0.7266,0.5318,100.0,94.24,2545.1
gigaam-v2-ctc,gigaam,NAR (CTC),ru,elevenlabs_rachel_mixed,10,10,0.6426,0.4949,17.07,18.37,2550.5
gigaam-v2-ctc,gigaam,NAR (CTC),ru,live,10,10,0.6913,0.5872,18.99,18.79,2987.6
gigaam-v2-ctc,gigaam,NAR (CTC),ru,silero_v4_ru_xenia_48k,10,10,0.4897,0.6596,20.8,20.68,2184.8
gigaam-v2-rnnt,gigaam,NAR (RNN-T),all,elevenlabs_rachel_mixed,20,20,0.7511,0.5726,85.0,75.61,3723.3
gigaam-v2-rnnt,gigaam,NAR (RNN-T),all,live,20,20,0.793,0.5954,87.5,76.22,3785.7
gigaam-v2-rnnt,gigaam,NAR (RNN-T),all,silero_v4_ru_xenia_48k,10,10,0.5199,0.6188,19.38,20.54,3371.1
gigaam-v2-rnnt,gigaam,NAR (RNN-T),en,elevenlabs_rachel_mixed,10,10,0.7657,0.5726,100.0,100.0,3723.3
